Date,Close,Open,High,Low,Vol.,Change %
2025-05-08,21.0075,19.06,21.8925,18.1525,,10.22%
2025-05-09,21.6325,21.0075,22.7475,21.0025,,2.98%
2025-05-12,18.3925,21.6325,21.6325,17.2075,,-14.98%
2025-05-13,18.2,18.3925,18.9025,17.8925,,-1.05%
2025-05-14,17.225,18.2,19.2425,17.0825,,-5.36%
2025-05-15,16.8925,17.225,17.6725,16.72,,-1.93%
2025-05-16,16.55,16.8925,17.055,16.215,,-2.03%
2025-05-19,17.355,16.55,17.4475,15.8275,,4.86%
2025-05-20,17.385,17.355,17.66,15.9675,,0.17%
2025-05-21,17.5475,17.385,17.9975,17.0425,,0.93%
2025-05-22,17.2575,17.5475,18.2025,16.705,,-1.65%
2025-05-23,17.2775,17.2575,17.5225,15.485,,0.12%
2025-05-26,18.02,17.2775,18.4125,16.0575,,4.30%
2025-05-27,18.535,18.02,19.185,17.42,,2.86%
2025-05-28,18.0175,18.535,19.035,17.875,,-2.79%
2025-05-29,16.42,18.0175,18.0175,16.2075,,-8.87%
2025-05-30,16.0775,16.42,16.545,15.2875,,-2.09%
2025-06-02,17.1575,16.0775,17.7275,16.0775,,6.72%
2025-06-03,16.555,17.1575,17.7275,16.2575,,-3.51%
2025-06-04,15.745,16.555,17.06,15.63,,-4.89%
2025-06-05,15.195,15.15,15.92,14.9825,,-3.49%
