direction,entry_time,exit_time,entry_price,exit_price,peak_profit,pnl,exit_reason
long,2023-11-13 10:10:00+05:30,2023-11-13 10:15:00+05:30,19469.45,19441.45,0.0,-28.0,ST_TRAIL
short,2023-11-13 10:30:00+05:30,2023-11-13 11:30:00+05:30,19426.1,19449.1,4.95,-23.0,ST_TRAIL
long,2023-11-15 09:55:00+05:30,2023-11-15 14:55:00+05:30,19633.3,19646.25,41.8,12.95,ST_TRAIL
long,2023-11-16 10:15:00+05:30,2023-11-16 15:00:00+05:30,19721.3,19808.85,137.5,87.55,ST_TRAIL
long,2023-11-17 14:10:00+05:30,2023-11-17 14:30:00+05:30,19757.0,19736.6,2.15,-20.4,ST_TRAIL
short,2023-11-20 09:35:00+05:30,2023-11-20 10:20:00+05:30,19720.1,19749.7,16.1,-29.6,ST_TRAIL
long,2023-11-21 13:35:00+05:30,2023-11-21 15:15:00+05:30,19803.35,19781.3,0.0,-22.05,EOD_EXIT
long,2023-11-22 09:50:00+05:30,2023-11-22 10:20:00+05:30,19818.9,19796.3,3.8,-22.6,ST_TRAIL
short,2023-11-23 10:40:00+05:30,2023-11-23 12:25:00+05:30,19803.05,19829.2,4.15,-26.15,ST_TRAIL
short,2023-11-24 10:00:00+05:30,2023-11-24 10:40:00+05:30,19793.1,19818.9,0.0,-25.8,ST_TRAIL
long,2023-11-28 14:30:00+05:30,2023-11-28 15:15:00+05:30,19880.2,19897.55,17.35,17.35,EOD_EXIT
long,2023-11-29 09:45:00+05:30,2023-11-29 15:15:00+05:30,19999.15,20098.9,102.75,99.75,EOD_EXIT
short,2023-11-30 09:50:00+05:30,2023-11-30 10:40:00+05:30,20047.8,20098.6,15.05,-50.8,STOP_LOSS
long,2023-11-30 10:45:00+05:30,2023-11-30 12:15:00+05:30,20091.6,20049.6,0.0,-42.0,ST_TRAIL
long,2023-11-30 13:30:00+05:30,2023-11-30 14:00:00+05:30,20069.95,20073.45,42.85,3.5,ST_TRAIL
long,2023-12-01 10:00:00+05:30,2023-12-01 14:35:00+05:30,20249.15,20255.8,36.9,6.65,ST_TRAIL
long,2023-12-04 10:55:00+05:30,2023-12-04 15:15:00+05:30,20555.05,20684.75,129.7,129.7,EOD_EXIT
long,2023-12-05 09:50:00+05:30,2023-12-05 11:15:00+05:30,20783.15,20788.3,59.6,5.15,ST_TRAIL
short,2023-12-05 14:05:00+05:30,2023-12-05 14:55:00+05:30,20812.65,20836.8,9.9,-24.15,ST_TRAIL
